""	"probe.id"	"gene.id"	"p.value"	"q.value"	"log.fc"	"test.stat"
"1769659_at"	"1769659_at"	"YIR039C"	0.000714854155967423	0.00259360100146481	0.450956020567863	5.37230142816984
"1769663_at"	"1769663_at"	"YDL061C"	0.0009963996835806	0.00344795938637391	-0.339049406291867	-5.09489370324767
"1769665_at"	"1769665_at"	"YKL108W"	0.846477807240572	0.895258476919608	0.0204030126752065	0.200124235505362
"1769666_at"	"1769666_at"	"YLR127C"	0.0143534549333292	0.034763864253418	-0.236709229601263	-3.13118592936596
"1769667_at"	"1769667_at"	"YOL122C"	0.151077283823023	0.24254040805318	-0.150885426849066	-1.5908806556762
"1769670_at"	"1769670_at"	"YKL208W"	0.00278145726436245	0.00833903017419833	0.296282162663594	4.28947832861447
"1769671_at"	"1769671_at"	"YPR117W"	0.000607176493037176	0.00224922871725772	0.507398186741413	5.51202896063922
"1769674_at"	"1769674_at"	"YPL119C"	1.029300835737e-06	1.32487627007467e-05	1.83171727479255	13.5359024328304
"1769675_at"	"1769675_at"	"YDL177C"	0.00120413926652695	0.00405886301807728	-0.362953410813706	-4.94060149710587
"1769677_at"	"1769677_at"	"YDR195W"	0.345118611486748	0.4618486635228	0.0738368362816173	1.00453684871473
"1769679_at"	"1769679_at"	"YER053C"	6.23885162717292e-05	0.000318887607959521	0.786528281922209	7.72994717704652
"1769681_at"	"1769681_at"	"YOL105C"	0.626455520299252	0.721906875703139	0.0341297301003001	0.506479417056638
"1769682_at"	"1769682_at"	"YOR104W"	0.177605115916657	0.275926742498895	-0.114869599367014	-1.48115582131603
"1769683_at"	"1769683_at"	"YCL018W"	1.23568833983715e-05	8.50762685120035e-05	-0.610337676424134	-9.68962388670484
"1769684_at"	"1769684_at"	"YBR110W"	0.000525563670028613	0.00199145623650232	-0.43338338105041	-5.63748055951238
"1769685_at"	"1769685_at"	"YDR518W"	3.50724346302817e-07	6.41995922344587e-06	-1.14723889632169	-15.6001399850101
"1769688_at"	"1769688_at"	"YDR210W"	8.14837395601219e-07	1.13216446119738e-05	-2.16788826843976	-13.9609001334195
"1769690_at"	"1769690_at"	"YJR033C"	6.03112540766831e-06	4.84618665110289e-05	0.726008984405497	10.6841109031587
"1769691_at"	"1769691_at"	"YLR089C"	0.000129032066225391	0.000591965751348057	0.922837749522594	6.96147464261933
"1769694_at"	"1769694_at"	"YBL036C"	7.92903812393475e-05	0.000392074790128321	-0.534138184014023	-7.4695012317427
"1769695_at"	"1769695_at"	"YDR363W"	0.13511067452461	0.221995106180264	0.108559088229284	1.66572117277168
"1769697_at"	"1769697_at"	"YBR002C"	3.33100771250943e-06	3.11387957932447e-05	-0.923554749069163	-11.5743208963329
"1769698_at"	"1769698_at"	"YMR227C"	0.29036593998358	0.40587349605277	0.0942258053899133	1.13378933540355
"1769703_at"	"1769703_at"	"YJL097W"	1.23628398972421e-05	8.50762685120035e-05	-0.77406906597552	-9.68898379317077
"1769707_at"	"1769707_at"	"YNL118C"	0.0845858931867267	0.152787658656613	0.126232166291337	1.9738415081946
"1769708_at"	"1769708_at"	"YIL161W"	0.0271000451191099	0.0593604516058595	0.173371792650473	2.71146809276879
"1769709_at"	"1769709_at"	"YCL054W"	8.8677703682433e-07	1.20004608937812e-05	-1.15954019939219	-13.8055943942338
"1769710_at"	"1769710_at"	"YDR006C"	8.14486429713559e-06	6.14265542022759e-05	0.68825094142948	10.2571775671316
"1769711_at"	"1769711_at"	"YOL019W-A"	0.0232486294146349	0.052190021003108	-0.291334605537257	-2.8117528866856
"1769713_at"	"1769713_at"	"YOL162W"	6.1443013642027e-05	0.000315976119096504	-0.818663568737399	-7.746777145499
"1769716_at"	"1769716_at"	"YPR121W"	0.0476114860313075	0.0953885526581199	0.16118576109113	2.34593396901358
"1769717_at"	"1769717_at"	"YPR031W"	0.049599806967219	0.0985323923900689	0.222152298585857	2.3194980783825
"1769719_at"	"1769719_at"	"YFL039C"	0.0101467321996219	0.0256200299162357	0.216280493598533	3.3656397518499
"1769720_at"	"1769720_at"	"YFL047W"	0.0012842805273537	0.00429982156952244	-0.537905752748903	-4.88872605157895
"1769721_at"	"1769721_at"	"YDR331W"	1.08217456209563e-06	1.36715605224359e-05	-0.960721065785906	-13.4463615158609
"1769723_at"	"1769723_at"	"YGR174W-A"	6.21779474111979e-08	2.09070956710637e-06	3.51582150479368	19.5527046039983
"1769726_at"	"1769726_at"	"YDR515W"	0.147968491886197	0.2386011036347	-0.142996328373643	-1.60486408322842
"1769727_s_at"	"1769727_s_at"	"YDL184C"	0.000122630733857879	0.000567602142989792	-2.04544821718077	-7.01328962950292
"1769730_at"	"1769730_at"	"YHR128W"	1.6000707094596e-07	3.71243582016444e-06	-1.60824859409074	-17.2879938435386
"1769731_at"	"1769731_at"	"YDR261C"	3.24322197669121e-09	2.79070313080957e-07	-1.85432438526582	-28.63842052737
"1769732_at"	"1769732_at"	"YOL077W-A"	0.000119108678241419	0.000554352485443877	0.5218513716556	7.0430954098181
"1769735_at"	"1769735_at"	"YJR058C"	0.00331390251532829	0.00973241781443364	-0.27523483888517	-4.15910254909381
"1769740_at"	"1769740_at"	"YDR118W"	0.00886650817999613	0.0228037659192746	0.22388249038536	3.45808380913738
"1769741_at"	"1769741_at"	"YDR119W"	4.17103449518144e-07	7.13318700521796e-06	-1.0374733017039	-15.2489957525585
"1769742_at"	"1769742_at"	"YDL125C"	0.156755354870452	0.249711737321326	0.1121534814928	1.56600467653913
"1769743_s_at"	"1769743_s_at"	"YDL191W"	0.000108028153998943	0.000511717237494778	-0.475840764887633	-7.14366721455961
"1769745_at"	"1769745_at"	"YMR178W"	9.96375305531166e-07	1.29557377334476e-05	-0.943240944570837	-13.5943112878697
"1769746_at"	"1769746_at"	"YGR083C"	7.32388201919084e-05	0.000366798270878632	-0.568241566787783	-7.55497438025833
"1769750_at"	"1769750_at"	"YDR253C"	0.52548015034838	0.634104139024636	-0.0438368950868367	-0.664420872954744
